Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
World,SintMaarten,2009,13.2,3.3,16.3,0.99,2.62,37099,490,123,604,367,971
World,Slovakia,2009,11.3,9.8,-0.5,0.15,0.1,5420248,61195,52902,-2710,8293,5583
World,Slovenia,2009,10.5,9,5.6,0.15,0.7,2075271,21853,18740,11518,3113,14631
World,SolomonIslands,2009,29.3,4,-2,2.53,2.33,546494,15990,2186,-1088,13804,12717
World,Somalia,2009,43.6,15.5,-12.2,2.81,1.59,9613212,419328,149197,-117185,270131,152946
World,SouthAfrica,2009,22.1,13.8,4.7,0.83,1.3,50680856,1119540,699903,237693,419637,657331
World,SouthSudan,2009,43,12.8,18.2,3.02,4.84,9246358,397316,118261,168191,279055,447246
World,Spain,2009,11.2,8.6,1.6,0.26,0.42,46295240,516192,396287,72684,119905,192588
World,SriLanka,2009,18.3,6.5,-2.6,1.18,0.92,20879197,381881,136132,-54077,245748,191671
World,Sudan,2009,39.3,8.5,-2.4,3.08,2.85,34144883,1342918,289890,-80923,1053028,972105
World,Suriname,2009,19.1,6.3,2.2,1.27,1.49,538125,10251,3401,1168,6850,8018
World,Sweden,2009,12,9.6,6.7,0.23,0.91,9352378,111761,90063,63035,21698,84733
World,Switzerland,2009,10.2,8.1,7.1,0.21,0.92,7693227,78317,62469,54776,15848,70624
World,Syria,2009,25.1,3.7,-3.6,2.14,1.78,21389802,536456,79570,-76789,456886,380097
World,Taiwan,2009,8.3,6.3,1.6,0.2,0.36,23065096,190979,144849,35751,46130,81881
World,Tajikistan,2009,26.9,6.8,-1.3,2.01,1.88,7349145,197692,50195,-9407,147497,138090
World,Tanzania,2009,39.5,9.5,-4.7,3,2.53,43094715,1703534,410693,-203407,1292841,1089434
World,Thailand,2009,11.5,7.2,0,0.43,0.43,66441491,764742,479043,0,285698,285698
World,Timor-Leste,2009,36,6.7,-6,2.94,2.33,1061527,38257,7080,-6412,31177,24765
World,Togo,2009,36.2,8.3,0.6,2.78,2.84,6405008,231605,53418,3715,178187,181902
World,Tonga,2009,26.5,4.9,-18.1,2.16,0.36,105289,2794,519,-1900,2275,375
World,TrinidadandTobago,2009,14.4,8.1,-7.3,0.63,-0.1,1229953,17662,9975,-8954,7687,-1267
World,Tunisia,2009,18.8,6.3,-2.1,1.25,1.05,10411019,196144,65589,-21447,130554,109107
World,Turkey,2009,18.6,5.7,-1.7,1.28,1.11,73875971,1372616,424048,-127805,948567,820762
World,Turkmenistan,2009,19.7,6.3,-2,1.34,1.14,4884887,96183,30824,-9623,65360,55737
World,TurksandCaicosIslands,2009,18.2,2.5,52.9,1.56,6.85,40983,745,104,2166,641,2807
World,Tuvalu,2009,23.1,9.5,-7.1,1.36,0.64,10404,240,99,-74,141,67
World,Uganda,2009,45.8,12.6,-2.2,3.32,3.1,30520924,1397553,383343,-67146,1014210,947064
World,Ukraine,2009,11.2,15.4,0.3,-0.42,-0.39,45950761,512351,706723,13326,-194372,-181046
World,UnitedArabEmirates,2009,9.3,1.2,7.7,0.81,1.58,8244563,76345,9646,63813,66699,130511
World,UnitedKingdom,2009,12.4,9.4,2.6,0.31,0.57,61996848,768761,579671,163052,189090,352142
World,UnitedStates,2009,(NA),(NA),(NA),(NA),(NA),306771529,(NA),(NA),(NA),(NA),(NA)
World,Uruguay,2009,13.8,9.6,-2,0.43,0.22,3293765,45586,31587,-6686,13999,7312
World,Uzbekistan,2009,17.6,5.3,-2.9,1.23,0.94,27606007,485314,146036,-81162,339278,258116
World,Vanuatu,2009,29,4.5,-1.7,2.45,2.28,239779,6963,1089,-400,5875,5474
World,Venezuela,2009,21.4,5.1,-1.5,1.63,1.48,28067042,600915,144265,-40697,456651,415954
World,Vietnam,2009,17.7,6,-0.4,1.18,1.14,88576758,1570466,529689,-33659,1040777,1007118
World,"VirginIslands,British",2009,10.4,4.7,20,0.57,2.57,28895,299,135,578,164,742
World,"VirginIslands,U.S.",2009,15.3,6.6,-8.8,0.87,-0.02,108405,1658,719,-958,939,-20
World,WallisandFutuna,2009,14.2,4.6,-6.1,0.96,0.35,15289,217,71,-93,146,53
World,WestBank,2009,29,3.8,-5.2,2.52,2,2357184,68382,9028,-12281,59354,47073
World,WesternSahara,2009,33,9.3,8.7,2.37,3.24,476008,15718,4427,4151,11291,15442
World,Yemen,2009,35.8,7.5,1.2,2.84,2.96,22544016,807978,168629,27729,639348,667077
World,Zambia,2009,43.9,14.3,-2,2.96,2.75,12678115,556442,181677,-25863,374765,348902
World,Zimbabwe,2009,35.7,13.1,-13.9,2.25,0.87,12605986,449782,165643,-174845,284139,109294
