bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,0,0,0,,207,9118,grm,kota1279,{},6.48554,language,116.853,,Kota Marudu Talantang,'Kota Marudu Talantang [kota1279][grm]-l-':1,12113,vulnerable
False,0,0,0,,207,9122,zbw,west2564,{},3.9815,language,114.528,,West Berawan,'West Berawan [west2564][zbw]-l-':1,12118,vulnerable
False,5,0,0,,207,9125,kzi,kela1258,{},3.31783,language,115.428,,Kelabit,"('Bario [bari1288]':1,'Brung [brun1244]':1,'Lepu Potong [lepu1240]':1,'Libbung [libb1237]':1,'Lon Bangag [lonb1237]':1)'Kelabit [kela1258][kzi]-l-':1",12132,vulnerable
False,0,0,0,,207,9125,snv,saba1265,{},3.58723,language,115.664,,Sa'ban,'Sa''ban [saba1265][snv]-l-':1,12133,vulnerable
False,0,0,0,,207,9125,lgi,leng1260,{},3.69641,language,115.91,,Lengilu,'Lengilu [leng1260][lgi]-l-':1,12134,critically endangered
False,0,0,0,,207,9125,tgq,trin1273,{},1.335,language,110.036,,Tring,'Tring [trin1273][tgq]-l-':1,12135,vulnerable
False,4,0,0,,207,9126,xkl,main1275,{},3.54443,language,114.039,,Usun Apau Kenyah,"('Lepo'' Kulit [lepo1241]':1,'Uma Bem [umab1239]':1,'Uma Jalam [umaj1239]':1,'Uma Tau [umat1246]':1)'Usun Apau Kenyah [main1275][xkl]-l-':1",12137,vulnerable
False,1,0,0,,207,9127,whk,waha1238,{},1.56635,language,116.655,,Eastern Lowland Kenyah,('Uma Timai [umat1247]':1)'Eastern Lowland Kenyah [waha1238][whk]-l-':1,12138,definitely endangered
False,2,0,0,,207,9131,xkn,kaya1325,{},1.78269,language,115.827,,Kayan River Kayan,"('Kayaniyut Kayan [kaya1326]':1,'Uma Lakan [umal1240]':1)'Kayan River Kayan [kaya1325][xkn]-l-':1",12152,vulnerable
False,0,0,0,,207,9131,xkd,mend1267,{},0.98794,language,113.286,,Mendalam Kayan,'Mendalam Kayan [mend1267][xkd]-l-':1,12153,vulnerable
False,2,0,0,,207,9131,kys,bara1370,{},3.51211,language,114.482,,Baram Kayan,"('Long Akahsemuka [long1412]':1,'Long Atip [long1413]':1)'Baram Kayan [bara1370][kys]-l-':1",12154,vulnerable
False,0,0,0,,207,9131,bhv,baha1257,{},0.30801,language,115.332,,Bahau,'Bahau [baha1257][bhv]-l-':1,12155,safe
False,0,0,0,,207,9135,tgt,cent2090,{},10.6519,language,119.338,,Central Tagbanwa,'Central Tagbanwa [cent2090][tgt]-l-':1,12156,definitely endangered
False,0,0,0,,207,9135,bya,bata1301,{},10.1115,language,119.025,,Batak,'Batak [bata1301][bya]-l-':1,12157,definitely endangered
