ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
2288,Batek,Malaysia,MYS,btq,Critically endangered
1844,Bateri,Pakistan,PAK,btv,Definitely endangered
2088,Bathari,Oman,OMN,bhm,Critically endangered
33,Bati,Cameroon,CMR,btc,Severely endangered
1041,Bats,Georgia,GEO,bbl,Severely endangered
1919,Baure,Bolivia (Plurinational State of),BOL,brg,Critically endangered
1019,Bavarian,"Germany, Austria, Hungary, Italy, Switzerland, Czech Republic","DEU, AUT, HUN, ITA, CHE, CZE",bar,Vulnerable
1190,Bawm,"Bangladesh, India","BGD, IND",bgr,Definitely endangered
2087,Bay Islands Creole,Honduras,HND,,Critically endangered
1692,Baygo,Sudan,SDN,byg,Extinct
1307,Bayot,Senegal,SEN,bda,Vulnerable
81,Bayso,Ethiopia,ETH,bsw,Definitely endangered
1546,Beaver,Canada,CAN,bea,Definitely endangered
2520,Bedoanas,Indonesia,IDN,bed,Vulnerable
113,Beeke,Democratic Republic of the Congo,ZAI,bkf,Severely endangered
1403,Beezen,Cameroon,CMR,bnz,Severely endangered
1693,Belanda Bor,Sudan,SDN,bxb,Definitely endangered
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",bel,Vulnerable
1694,Beli,Sudan,SDN,blm,Definitely endangered
1525,Bella Coola,Canada,CAN,blc,Critically endangered
1581,Bellari,India,IND,brw,Critically endangered
1743,Benga,"Gabon, Equatorial Guinea","GAB, GNQ",bng,Definitely endangered
2330,Benggoi,Indonesia,IDN,bgy,Definitely endangered
2107,Bepour,Papua New Guinea,PNG,bie,Severely endangered
1653,Berakou,Chad,TCD,bxv,Extinct
2062,Berbice Dutch Creole,Guyana,GUY,brc,Critically endangered
1695,Berti,Sudan,SDN,byt,Extinct
1634,Besme,Chad,TCD,bes,Severely endangered
2276,Besoa,Indonesia,IDN,bep,Vulnerable
1042,Bezhta,Russian Federation,RUS,kap,Definitely endangered
1567,Bhadravahi,"India, Pakistan","IND, PAK",bhd,Definitely endangered
1607,Bhalesi,India,IND,bhd,Definitely endangered
1552,Bharmauri,India,IND,gbk,Definitely endangered
1213,Bhumji,India,IND,bij,Vulnerable
2525,Biak,Indonesia,IDN,bhw,Vulnerable
2640,Bierebo,Vanuatu,VUT,bnk,Vulnerable
2140,Bieria,Vanuatu,VUT,brj,Critically endangered
1187,Biete,India,IND,biu,Definitely endangered
